ProductID,Title,Description,Reference,CostExGST,GST,DisbursementID,CostCenter,GLCode,TaxCode,Narrative,OnlineServiceCode,AllowChanges,BillingDetailsNameRequired,BillingDetailsPostRequired,BillingDetailsEmailRequired,BillingDetailsPhoneRequired,BillingDetailsFaxRequired,DeliveryPost,DeliveryEmail
43ff3f25-f6bd-4f47-90da-78bbca632674,Instruments of renunciation 1915-1983,Instruments of renunciation 1915-1983,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
5203266b-1ec5-40a7-9ca2-55cd7c731970,Justices of the Peace 1857-1957,Justices of the Peace 1857-1957,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
69580a39-b759-4607-84a5-ef24ad5ff3ee,Land orders 1861-1874,Land orders 1861-1874,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
cd5a97e5-210c-4e99-9528-a332d2ac014d,Land orders 1862-1878,Land orders 1862-1878,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
f25481f7-a7e0-459a-8256-8b3f7f469db5,Land Orders 1865 to 1866,Land Orders 1865 to 1866,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
f063be2f-da6b-4b54-850c-7d74956fc287,Mackay Hospital Hospital Admissions 1891-1908,Mackay Hospital Hospital Admissions 1891-1908,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
793b337f-8f3a-41a4-9e9d-98a1ea964492,Military Service Records 1899 to 1901,Military Service Records 1899 to 1901,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
c54ae3d5-8500-48ee-94b1-bf504519b39f,Mineral leases 1871-1940,Mineral leases 1871-1940,,$16.86,$1.69,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
0fa75b4e-9c69-4914-a56f-0109bf9454d8,Miners rights 1874-1880,Miners rights 1874-1880,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
f7c58df3-144f-4a4c-8ce9-891a7eff7c68,Naturalisations 1851-1908,Naturalisations 1851-1908,,$6.27,$0.63,2810,1050010,415066,SG,,qsapr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
